Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
0,11,15.6667,17,17.6667,19.3333,20.3333,23,25,28,29.6667,31.6667,34.6667,36,36.3333
1,11.2627,13.6235,14.5921,16.6156,17.2902,19.4431,21.7606,24.8392,27.898,29.8706,32.1765,33.3098,35.6353,35.2235
2,11.5684,13.9922,14.7684,17.521,17.0937,19.4824,22.0622,25.3096,28.2034,30.4474,32.0553,33.3414,35.7729,34.8394
3,12.696,16.1827,16.7878,19.5251,19.9587,21.472,23.9247,27.0058,29.58,31.296,32.0925,33.4083,34.8353,34.5036
4,14.4086,18.9076,19.8142,21.4409,24.786,25.9176,26.8934,30.2125,30.9458,32.8949,33.2824,32.8809,33.7003,33.451
5,14.1153,22.0381,23.3322,25.0807,28.4683,29.1165,30.6886,32.3541,31.7463,33.316,32.9804,32.5709,33.1822,32.2168
6,17.3284,27.929,28.6718,32,33.7719,34.5775,35.3109,34.8873,33.2481,33.1703,31.9036,30.0677,29.1305,27.3815
7,19.6762,33.7468,34.4342,37.3496,37.3143,37.9199,37.4235,35.8689,32.9731,32.3882,30.3278,27.0947,25.1647,24.0572
8,23.1931,38.2863,38.6794,40.2078,39.1275,39.2255,37.702,35.5441,31.649,30.602,28.051,24.403,22.2686,20.9804
9,32.4275,43.2977,42.5333,42.4032,39.8271,39.1869,36.4342,32.8148,29.0501,25.5852,23.1615,20.377,18.0599,16.1061
10,38.3552,46.7001,44.955,42.7439,39.0138,36.4902,32.6471,27.579,24.5248,20.9366,18.8973,16.5686,14.8235,14.7013
11,49.0023,47.3866,44.0347,39.4493,36.9081,32.902,29.3882,24.7434,21.0863,18.0281,16.7787,15.1961,13.2454,12.8784
12,56.1722,46.8295,41.8507,36.8531,33.7083,29.2039,25.1357,21.3318,18.1843,15.8232,14.924,14.1725,12.2992,11.9255
13,60.9489,45.8122,39.9016,35.2311,30.2239,25.9886,21.5612,18.9061,16.1809,14.9296,13.7767,13.361,12.0746,11.7649
14,62.3925,44.8266,37.5753,32.8851,28.6054,26.3701,22.66,20.1702,17.5385,15.6615,14.2,13.3333,12.3385,12.1882
15,61.8512,44.8293,37.0208,34.0484,28.8616,27.6459,22.6067,21.0277,18.2145,15.94,14.8328,13.5582,12.4994,12.451
16,52.9027,41.6824,37.6861,35.2549,30.3567,29.6509,24.6822,22.941,19.9255,17.549,16.4902,14.749,13.8509,13.1803
17,43.9067,42.0933,39.3467,35.8,32.7467,31.2533,27.7333,25.12,21.8667,19.4533,17.92,16.2667,15.3067,14.2
18,34.9934,43.599,40.4167,36.2652,35.0081,32.8566,30.8684,27.6032,24.3248,21.7419,19.5348,18.1309,17.0093,15.4667
19,20.1305,39.0706,38.7607,37.7274,36.9421,35.5755,34.199,31.8049,28.3814,25.152,23.6726,21.5981,20.1549,18.7333
20,16.4118,33.7659,35.3956,36.3506,36.0173,35.6251,35.2734,33.2918,31.0796,28.8627,27.9227,25.1776,23.8627,22.7843
21,13.5005,29.1922,32.7537,33.9608,34.3066,34.3647,34.9647,33.3615,33.1301,31.6549,31.0353,28.5412,27.3922,26.4902
22,11.7077,23.7831,26.2138,29.9328,30.8211,32.5461,33.9527,33.5144,34.2519,33.5128,33.4522,32.0006,31.7391,30.4145
