Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
23,10.9569,18.3346,19.7725,24.2671,26.5337,28.8253,30.5277,32.5076,33.1212,33.7839,35.3734,33.4871,34.7224,33.5364
24,10.6941,14.6615,16.3569,20.1878,21.9878,25.1747,27.9037,31.1041,33.2318,33.7494,35.4305,34.4187,37.0266,35.1421
25,10.4025,13.8039,15.2757,18.0404,19.2745,22.5098,25.7059,28.1476,31.5098,33.128,34.7059,35.4602,37.4025,36.9504
26,10.3333,12.8984,14.2353,15.9376,16.4084,19.4278,22.7453,24.3414,28.5806,31.2708,33.0151,35.9873,37.1877,38.6308
27,10.3333,12.4784,13.4784,14.7176,15.2605,18.0023,20.9938,22.5451,27.0964,30.0689,31.8572,35.2605,36.2605,38.4784
28,10.2697,12.0061,12.9364,13.8932,14.5198,16.8932,19.7826,21.4932,26.1303,28.4501,31.2636,34.5355,35.6266,37.9159
29,10.0122,12.4244,12.6788,13.4318,14.0636,16.4318,18.5381,20.5651,24.5212,27.3181,30.5878,33.6989,35.6318,37.6048
30,9.7843,13.098,13.098,13.7647,14.4314,16.6471,18.3333,20.6471,23.7428,27.2157,29.902,32.902,35.2572,36.7624
31,9.6667,13.6235,13.6235,14.2902,14.8118,16.8184,18.4784,20.9686,23.9415,27.6287,29.5164,32.0549,34.6902,35.7581
32,9.6667,13.498,13.6586,14.3569,14.9139,16.8824,18.9535,21.557,24.8667,27.6358,30.7643,32.2747,34.8588,34.851
33,9.6745,13.3412,13.6831,14.3561,15.0863,17.1522,19.0125,21.6806,25.6674,26.8108,32.1748,32.6377,34.8282,34.298
34,10.2,13.8667,14.9467,15.72,16.8667,19.1867,20.0133,23.1067,25.88,26.7867,30.04,30.3733,31.48,31.9333
35,10.7232,14.7693,15.4383,17.218,18.7151,20.767,21.782,24.5271,26.7555,27.2203,28.9458,30.2065,30.6471,31.2872
36,11.251,16.2539,16.6461,19.3,21.3128,22.9951,23.7873,25.7363,27.2618,28.0421,28.8402,29.6471,29.8265,30.5255
37,11.7765,17.1529,18.6314,21.2161,23.278,25.5181,26.3882,27.42,28.4048,28.3381,29.6318,29.5106,28.8153,29.6902
38,12.4628,19,21.0628,24.1138,25.9765,28.7882,29.1451,29.4314,30.1725,28.4,29.2628,28.9686,27.7961,28.149
39,13.1529,21.7926,24.0788,27.8941,29.4619,31.8196,31.7635,31.2815,31.2105,28.9015,27.6693,27.7604,27.1063,25.0737
40,13.6863,23.8627,26.3183,30.3725,31.9562,33.2595,32.6125,32.4902,31.519,29.4072,26.4902,26.2007,25.887,22.9412
41,14.2754,25.9608,28.7059,32.4492,33.7695,34.4187,33.3625,33.4667,31.8667,29.2941,25.9638,25.003,24.2362,21.6187
42,15.4314,29.4667,32.0941,34.7902,35.6177,35.7294,34.7647,33.9333,31.3157,28.0843,25.4912,23.5343,21.9333,20.2
43,16.3647,32.7922,34.2559,36.399,36.9049,36.4,35.6872,34.1049,30.0392,26.9902,25.0353,22.9922,20.2598,18.8108
44,18.2126,35.1586,36.3795,38.5604,37.9285,36.6767,36.2187,33.6654,29.959,26.481,24.9813,21.4872,18.793,17.1538
45,20.4556,38.9262,39.271,40.1027,38.6125,37.2895,35.917,32.9366,29.9516,25.2941,23.5928,19.9066,17.6275,15.8973
46,22.6161,42.7769,41.3752,40.9847,39.2667,37.6623,35.2863,31.7063,29.2667,24.4941,22.2636,18.9608,16.8153,14.9015
47,24.7021,44.298,43.1216,42.1921,40.2196,37.5607,35.0942,31,27.8787,23.9373,22.302,18.8706,16.0471,14.4118
48,27.4204,45.5748,45.186,42.7948,41.2087,37.1298,34.9538,31.1416,26.902,22.7247,21.1486,17.76,15.3216,14.1302
49,30.0853,47.6843,45.7618,43.9363,41.1157,37.0049,34.3666,30.702,26.0265,21.5196,19.5942,16.4,14.9981,13.2667
50,32.2722,48.2526,46.3702,43.782,40.4752,36.782,33.2503,29.4706,25.0369,20.3137,18.7255,16.1742,14.6667,13
51,34.28,48.08,46.5467,42.7867,39.8133,36.2,31.68,28.4133,23.2133,19.32,17.7467,15.8,14.2,12.9333
52,36.6047,48.5968,46.4049,41.862,39.338,35.6745,30.7968,27.7341,21.7458,19.0659,17.0674,15.0706,13.7333,12.7294
53,38.0508,50.3923,46.6002,41.9255,39.3414,35.2667,30.9806,27.8078,21.7763,19.1492,16.7412,14.7412,13.7763,12.6667
54,40.2051,50.6133,46.9098,42.1852,39.0051,35.733,30.7502,26.8486,21.2338,19.5448,16.6416,14.2851,13.6118,12.66
55,42.4948,50.5271,47.1961,42.2134,38.6471,35.5271,29.8258,25.6251,20.5882,18.8824,15.8604,14,13.0761,12.4095
56,43.6863,51.0392,46.6196,42.7059,38,34.8239,29.1529,25.3011,21.027,17.5725,15.3333,14,12.9529,12.3333
57,44.8235,50.9804,46.3569,42.6471,38,34.0305,28.4235,24.4645,20.7107,17.0471,15.3333,14,12.6902,12.3333
58,45.8124,50.3608,46.1272,41.1944,38.033,33.0516,28.2179,23.3356,20.1513,17,15.0941,13.8392,12.6667,12.2179
59,46.043,49.9996,45.4627,40.3337,37.8159,32.133,27.8314,22.3684,19.6512,17.0155,15.0155,13.6667,12.6667,12
60,45.7059,49.4418,44.6667,40.6378,37.4994,31.4314,27.4706,23.0081,19.5686,16.8328,14.902,13.6667,12.6667,12
61,45.3246,48.841,44.6235,40.6436,37.0061,31.4423,26.9913,22.5351,19.1303,16.6797,14.7725,13.7725,12.6667,11.9813
62,45.0636,49.2453,44.9725,40.5486,35.8998,32.2597,26.7303,23.2022,18.9834,17.034,14.9765,13.9765,12.6667,11.9795
63,44.6,49.0733,44.6796,39.7882,35.3463,31.4537,27.3255,23.2718,19.8211,17,15,14,12.6667,11.7804
64,43.3333,48.3458,44.4721,38.9319,35.5105,30.8829,27.6895,23.6596,20.1436,17.1772,15.0282,14,12.8439,11.8439
65,41.2353,47.5098,43.8051,38.94,35.6667,30.8039,27.8431,23.9216,20.5283,17.3933,15.1569,14,12.9815,12.06
66,40.0431,46.6431,43.6588,39.4353,35.9069,31.6872,27.6618,23.8,20.1873,17.6637,15.6588,14,13,12.3333
67,38.3216,45.8549,43.3961,38.851,35.7875,32.211,27.6635,24.2667,19.4596,17.3993,15.3961,14,13,12.3333
68,35.92,45.5867,42.9333,38.5867,35.7467,32.0533,28.3867,24.6133,20.1333,17.7333,15.4533,14.2,13.2,12.7333
69,33.9647,45.3647,42.7099,38.9413,35.9255,32.098,29.4,24.6352,20.9413,18.2862,16.1255,14.4901,13.4627,13
70,32.5386,44.9412,42.6667,39.391,36.4025,32.7843,30.2745,24.9516,21.0588,19.0588,17.0588,15.0588,13.7255,13.0588
71,30.6498,44.3934,42.5267,40.7946,36.6498,34.1032,30.94,25.8917,21.1451,19.7882,17.9282,15.9282,14.2733,13.4667
72,27.8627,43.2314,42.3215,41.6274,36.6628,34.5961,31.0785,27.6745,22.3411,20.7529,18.098,16.851,14.9176,13.6667
73,25.6537,42.6,41.9333,40.6196,37.6875,35.124,31.0615,28.0615,23.3882,21.4181,18.4615,17.2196,15,13.6667
74,23.0549,41.7312,41.5499,39.795,39.0279,35.6671,31.7087,28.2611,24.4902,21.7682,19.238,17.4124,15.4101,14.1282
75,20.3725,41.5236,39.3829,40.489,38.7843,34.7901,33.8478,29.248,25.8189,22.4025,19.9273,18,16.519,14.4371
76,19.8667,40.2822,40.098,39.7727,38.6822,36.188,34.7806,30.5996,27.9451,23.8861,21.9761,18.3175,16.8314,15.2392
77,18.5892,38.9569,40.3755,40.1608,38.9225,37.3716,35.8559,32.0177,29.1225,25.1441,23.1333,19.1902,17.3265,15.902
78,16.7333,36.7523,38.8902,39.6941,39.1238,37.7121,36.4784,33.5703,30.5333,26.2572,24.5333,20.6572,18.3725,17.0846
79,15.316,34.865,37.0258,38.7121,38.7098,37.5569,36.5065,34.767,31.884,27.2471,25.8039,21.9938,19.4101,18.2275
80,14.6471,32.8062,35.609,37.2561,38,37.3529,36.6667,35.2768,33.0196,28.7451,27.0381,23.3541,20.7266,19.7059
81,13.8596,28.8581,33.3316,35.3105,37.1929,36.8368,36.6667,35.011,33.9333,30.4735,28.4282,25.1301,23,21.251
82,13.1216,25.9529,30.1263,32.8832,36.2902,36.1067,35.9765,35.0396,34.1564,31.5337,29.4784,26.8,24.922,22.7451
83,12.8588,23.8906,27.059,30.7018,35.243,35.4588,35.0474,34.9651,33.8669,32.1727,30.3175,27.9176,25.8745,23.9412
84,12.1373,21.1451,24.2356,28.404,32.7371,33.6432,34.0629,34.357,33.4081,32.3491,31.1766,28.847,27.5451,25.953
85,11,18.6667,21,26,28.6667,30.3333,33,32.6667,32.6667,32,30.6667,30.3333,30.6667,28.6667
86,11,17.3686,20.4038,24.3373,26.4784,28.8589,31.2784,32.2156,31.9804,32.0745,31.149,30.8432,31.3961,29.9959
87,10.851,16.3176,19.1608,21.7797,23.6194,26.0939,28.5361,30.6669,30.8351,31.7651,31.7178,31.1922,32.157,31.4669
88,10.4231,14.9564,16.6811,19.5769,20.4027,22.6345,25.6811,27.7713,29.162,30.42,31.3765,31.3534,32.7734,32.3247
89,10.2824,14.1804,15.3875,17.9294,19.0314,20.9294,23.8816,25.7294,26.7632,29.0596,30.4189,31.2086,32.8,33.0054
90,10.0185,13.3518,14.6275,16.331,17.94,19.3137,21.0554,23.6459,25.2734,27.9608,28.7036,30.3172,32.2953,32.6482
91,10,12.8863,13.3692,14.5692,15.6891,17.1827,19.0124,21.0493,23.4863,26.316,27.7529,28.9529,31.3395,32.2167
92,9.8275,12.6667,12.8275,13.7333,14.6095,15.8941,18.0667,19.3428,21.8857,24.87,27.0667,28.4118,31.2667,31.5272
93,9.6667,12.6667,12.6667,13.3578,14.3441,15.1539,17.1922,18.6,21.0167,23.8451,26.5892,28.1863,31.6314,31.449
94,9.7453,12.1457,12.4512,12.9651,14.1651,14.436,15.9852,17.9813,20.3182,22.8123,26.0547,27.3612,31.5143,31.6508
95,10.549,11.9954,12.0392,12.6667,14.2595,14.3333,16.6228,18.2503,20.6574,22.5582,24.9273,27.5582,31.7785,31.4118
96,10.6667,12.3036,12,12.6667,14.0902,14.5569,16.9098,18.7804,20.9098,23.298,25.2935,28.4202,31.1905,31.8
97,10.6275,12.3333,12.2145,12.9333,14.1659,15.3659,17.5985,19.6208,21.8522,24.187,26.1632,29.6078,31.1436,32.1267
98,10.651,12.4118,12.5765,13.5608,14.8785,17.0079,19.4118,21.1568,23.757,25.2315,28.1922,30.6078,31.8196,32.5373
99,10.6667,12.702,13.3804,14.6039,16.1204,18.829,21.5059,22.6941,25.8039,27.3125,30.2133,30.5306,32.562,32.7333
100,10.9677,13.8604,14.7255,17.2249,18.812,22.4902,25.2364,26.4072,28.8535,30.5917,31.316,31.376,33.248,33.3449
101,10.9572,17.3724,17.8037,22.5292,24.0195,27.5252,29.459,30.2667,31.8591,31.9058,32.1371,31.4746,31.8275,32.0903
102,11.0133,21.4933,22.3867,28.0533,29.1467,32.3333,32.8133,33.68,33.2667,32.7333,32.4533,31.0133,29.6667,29.6
103,12.2328,26.3961,27.4895,32.8816,33.3946,35.6745,35.6691,35.9451,34.4676,32.9993,31.9882,29.9279,27.1914,26.3929
104,13.3353,33.6588,34.1108,37.2284,37.9196,38.4157,37.8019,36.0902,32.4627,30.4637,29.0431,26.5196,23.3147,21.9873
105,17.9608,42.0565,41.8385,42.4671,40.2699,39.3702,36.782,35.0554,29.5917,25.4141,23.4544,21.2376,18.9239,17.4325
106,23.413,45.3074,44.0407,42.4909,39.7034,37.7873,34.0909,31.8995,27.04,22.1208,20.6346,18.5647,16.7208,15.3365
107,37.1885,46.416,43.4326,39.0968,36.6709,33.2042,29.4498,26.2051,22.3789,18.6651,17.66,15.8651,14.8326,13.5122
108,56.6833,46.0911,42.0993,35.0531,32.2305,27.5464,24.3198,20.3237,17.7638,15.4972,14.7834,13.5373,13.2471,12.2902
109,64.3677,44.3678,41.0536,33.539,29.5185,25.0418,22.339,18.488,16.4519,14.6519,13.5303,12.749,12.7216,12.0275
110,73.7532,43.8155,39.6021,32.4948,28.2884,23.7589,20.7878,17.8847,16.0115,13.7186,12.8155,12.2757,12.2065,11.5398
111,74.8588,44.9847,39.2207,33.8599,29.1852,24.279,21.1107,17.9964,16.2829,13.6786,12.6945,12.1651,11.6984,11.2275
112,69.5514,47.0409,41.3647,36.3232,31.7585,26.354,22.8347,19.0145,17.0919,14.549,13.549,12.4275,11.8549,11.5703
113,55.8876,49.2955,44.3909,39.5922,35.6854,30.997,25.8692,22.4553,18.7538,16.1346,15.112,13.0619,12.5128,12.3168
114,41.8797,50.4328,46.5635,43.149,40.1808,37.7878,31.9045,28.6291,22.9053,19.3856,18.2126,15.4279,13.8592,12.5847
115,25.5732,47.0334,45.8547,44.2514,43.1292,41.3426,37.8431,36.0704,30.9896,26.5213,23.6574,20.4129,18.4095,15.6644
116,18.8263,41.4145,42.7801,42.7789,42.3267,42.2902,41.0519,38.9662,35.1973,31.124,29.0024,26.1656,22.4275,19.2392
117,14.555,31.521,34.589,36.9772,37.2674,39.9341,40.4487,38.9346,36.6091,34.009,33.4758,30.4756,27.7458,25.0866
118,11.9882,20.9936,22.9348,27.8525,30.4988,35.0275,35.5059,36.3789,34.9248,34.5836,34.5145,32.2674,31.9899,31.3154
119,11.2,18.56,20.56,23.96,25.08,28.2,30.4,32.7733,33.72,32.8533,32.48,32.0133,33.16,31.96
120,10.8501,14.4798,15.8131,17.5386,19.3495,21.406,23.3529,26.0657,27.8777,29.4729,30.218,31.5836,32.917,33.4856
121,11.0824,12.7451,12.7922,13.75,15.3677,16.5755,17.9922,21.1951,22.7667,25.653,28.0284,30.7255,32.0853,33.701
122,10.7216,13.4937,12.9451,14.4588,14.3333,15.2436,17.5486,20.4388,22.1521,23.8501,26.4118,29.7129,31.9534,32.8663
123,10.9058,12.0746,12.7531,12.753,14.2432,14.9296,16.5492,18.6668,20.3491,23.6001,25.5296,29.5648,32.4824,34.1727
124,10.2545,12.7412,12.9529,13.8322,14.6487,16.4091,18.0365,20.1127,22.908,25.535,27.0714,29.1333,33.4,34.3298
125,10.6228,13.2295,12.8328,14.0346,16.5098,19.4106,21.0773,24.2641,26.9954,27.8916,29.1326,30.8397,33.2399,33.5352
126,11.4087,13.8572,13.6471,15.2846,19.7748,23.6833,26.0836,29.3477,30.3895,30.1128,30.7398,31.7839,32.4902,32.2126
127,12.8981,19.3803,20.0441,26.2982,28.6678,31.9972,33.1168,33.8853,32.5903,31.5648,31.4952,30.9795,29.9207,30.008
128,12.9628,32.8853,33.5706,36.8324,36.5628,38.3746,37.354,35.9608,33.3304,31.1304,28.8294,27.0157,23.9882,22.9225
129,14.3595,40.6309,39.7803,41.1847,40.0906,38.8575,37.2074,34.4131,30.735,27.9512,24.2675,22.3647,21.0087,19.9625
130,33.5525,46.4498,43.4325,40.8604,38.7578,34.9965,32.1188,28.6817,23.6171,21.887,19.1015,17.2687,15.9735,15.1407
131,57.0722,46.9738,43.6836,37.1232,33.6718,29.6157,25.8566,22.5311,18.0396,16.8671,15.82,14.0745,12.8514,11.9725
132,66.5132,43.557,39.4274,35.0159,29.9728,26.3139,22.9257,19.7335,17.3451,15.6628,14.3843,13.302,13.4745,12.8274
133,70.2835,46.4223,39.0869,34.917,30.1958,26.5092,23.7727,20.2359,17.6332,16.0128,13.9595,12.9395,11.6376,11.4925
134,61.1077,48.0442,42.0735,37.6187,33.4657,30.4226,27.1324,22.8471,20.0217,17.5775,14.5157,13.5206,11.9422,12.2696
135,41.1096,48.2849,44.4002,40.7359,38.3795,36.0692,32.1615,27.5167,24.7151,20.8178,18.8374,16.7024,13.8431,13.6517
136,19.72,44.36,42.9733,42.56,42.4267,39.8,37.4267,33.9733,31.2667,27.44,26.7467,23.9467,17.9867,17.1733
137,15.1557,32.6645,34.6929,37.363,37.4056,36.8669,37.0135,35.8105,34.7338,32.136,30.6872,29.8716,24.5561,24.0885
138,12.5531,22.8975,25.4626,28.808,30.8314,32.6478,34.3337,34.2594,33.6835,32.7694,31.9537,31.9458,29.1811,30.3612
139,12.7647,17.7035,19.8063,22.6643,23.9225,27.0948,29.499,30.6745,30.1801,30.9282,30.8703,31.622,31.12,32.1113
140,12.8777,14.5548,14.94,16.5848,17.7266,20.7901,22.0865,23.9689,25.4221,27.7497,28.895,31.1246,31.9043,31.5271
141,12.02,13.5255,13.2863,14.6345,15.1181,17.6244,18.5498,19.9977,22.5577,25.1302,27.7228,30.5926,31.5577,31.349
142,12.5991,12.7373,13.0235,13.7978,14.3834,16.7394,18.2767,20.271,22.6061,24.6531,27.2993,30.6462,31.6061,31.9922
143,11.8005,13.8213,15.1315,16.0744,17.248,19.0413,21.7803,22.7326,24.6128,26.2913,27.6795,30.7451,31.0235,31.0477
144,11.8349,14.9623,18.1813,19.9301,21.777,23.3574,26.8118,27.9367,27.4237,28.8936,28.5016,30.2822,29.9171,30.0896
145,13.2641,21.3287,23.2768,25.5571,27.4198,28.88,30.9123,31.158,30.1061,30.3806,27.9008,28.2434,27.2434,27.1949
146,17.9818,36.2954,33.3912,33.7215,35.2361,35.0653,34.41,32.5329,30.5272,28.4545,24.5477,22.936,21.2519,19.6113
147,25.1162,39.8968,39.1225,36.5059,35.2188,32.2445,30.8841,28.0789,24.1669,21.8004,19.3229,18.2366,16.0305,15.173
148,48.3621,41.5584,39.1647,34.1702,31.9623,28.3533,25.7541,23.3737,20.4114,17.9773,16.444,15.8259,14.4549,13.5686
149,60.2498,40.2787,36.9321,32.3171,29.0757,25.3863,22.4051,20.5595,18.2858,15.9752,15.1821,14.3436,13.4471,12.698
150,53.9642,40.4291,36.6909,33.5502,30.5513,26.8881,23.5548,21.7716,18.6182,16.3414,14.91,13.5536,12.2803,12.1419
151,35.2423,43.546,40.9254,35.596,33.9362,31.5578,27.5607,25.7412,22.3941,19.5245,17.1461,15.1461,13.2098,13.202
152,23.5116,39.51,37.7657,35.7343,36.1399,35.7492,32.0167,31.2343,27.0956,24.4282,21.7042,19.7042,16.5701,16.2995
153,15.08,27.7067,30.08,30.8267,31.9333,33.2133,31.9867,32.4933,30.52,28.8933,26.9467,26.5867,24.6133,23.36
154,11.3882,17.3841,18.8546,21.4429,23.9565,25.9801,29.1804,30.2235,29.8824,28.8667,28.7608,29.3099,28.1294,28.8471
155,11.9619,16.4418,16.4314,19.4441,19.1845,21.2918,24.8789,26.2111,27.1857,26.5882,27.331,28.3126,27.97,29.8939
156,12.9587,14.0322,14.4364,15.3237,16.5128,16.3486,18.0448,20.3576,23.4978,23.8366,25.5817,27.5814,27.3633,28.6115
157,15.1723,14.2431,13.7411,15.0078,15.5804,18.8315,19.5451,19.6825,23.4198,24.6079,26.9256,28.3413,28.8942,30.3568
158,13.4287,15.6483,15.8836,17.3451,18.4872,21.3707,21.8259,22.4467,25.1448,26.2455,27.7608,28.5529,29.1412,29.5662
159,12.5205,19.9665,20.4546,22.3335,24.2326,26.5775,26.1786,27.6015,28.4777,28.0189,27.8956,27.5293,27.9869,27.1953
160,15.9239,29.474,29.88,31.0058,31.8593,32.3599,30.3645,31.4821,30.1695,26.5421,24.9354,23.2734,22.4256,22.2111
161,30.7723,38.873,38.1791,36.9821,35.7081,32.8575,29.6652,30.152,26.8112,22.2232,21.0041,19.051,17.7335,16.5376
162,43.8676,40.4666,37.0431,33.6715,31.9617,28.6391,26.2853,25.1391,21.3606,17.9999,17.5156,16.2205,15.7637,15.4441
163,53.692,41.0433,36.7047,32.8161,30.6374,26.9825,25.0279,21.8877,19.7146,17.0161,15.722,15.0436,14.4044,13.7982
164,46.7767,40.4039,37.9395,35.1713,32.6543,28.7445,26.2421,23.3843,21.7395,18.1272,16.2264,15.7434,14.283,13.6039
165,33.1938,40.1038,37.8258,36.7878,35.0646,31.6494,29.1246,26.1776,23.827,19.3875,18.5871,17.3299,15.1672,14.722
166,16.1394,27.1329,29.4138,30.6988,29.8145,31.2062,30.6111,28.8895,27.7883,26.2738,24.4214,24.5201,24.0748,22.7169
167,12.7067,18.8468,20.5961,23.0838,24.3416,25.5905,25.4023,26.4196,26.6196,26.4431,26.0954,27.3934,26.7969,26.7503
168,12.949,16.279,16.5367,18.0816,19.226,20.9171,21.7871,23.5335,24.3214,24.7684,25.8868,26.9098,27.3455,27.008
169,13.2272,13.6236,13.4627,14.4551,16.1294,17.4155,20.0546,21.1881,22.3331,23.6508,24.9999,26.545,28.0667,27.2037
170,14.3333,13.6667,13.6667,13.3333,16.3333,16,21,21.3333,22.6667,24,25,27.6667,29,29.6667
