x_0,x_a1,x_b1,x_a2,x_b2,x_a3,x_b3,B,r_a1,r_b1,r_a2,r_b2,r_a3,r_b3
64,109,116,133,137,150,153,0.7,45,52,69,73,86,89
64,108,116,132,137,149,153,0.8,44,52,68,73,85,89
64,108,117,132,138,149,153,0.9,44,53,68,74,85,89
64,107,118,131,138,149,154,1,43,54,67,74,85,90
64,107,118,131,139,148,154,1.1,43,54,67,75,84,90
64,106,119,131,139,148,154,1.2,42,55,67,75,84,90
64,106,119,130,139,148,155,1.3,42,55,66,75,84,91
64,104,119,130,139,148,155,1.4,40,55,66,75,84,91
64,104,120,130,140,147,156,1.5,40,56,66,76,83,92
64,103,121,129,140,147,156,1.6,39,57,65,76,83,92
64,103,121,128,141,146,157,1.7,39,57,64,77,82,93
64,102,122,128,142,145,157,1.8,38,58,64,78,81,93
64,102,123,127,142,145,157,1.9,38,59,63,78,81,93
