Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
45,15.0588,29.4245,31.8985,33.8005,34.7451,34.9089,34.2318,34.9412,32.4118,30.3403,30.2676,26.3495,24.0323,21.7809
46,16.3506,32.7705,34.639,36.6332,37.0196,36.451,35.5513,35.406,32.955,30.1176,29.12,24.9942,22.9273,20.173
47,17.902,35.4787,37.4429,39.7486,39.083,38.3691,37.2872,35.3887,32.5409,29.1142,26.7255,24.0588,21.4233,18.6436
48,18.7901,37.3137,39.286,41.0784,39.3276,38.6863,36.8039,34.7843,32.5767,28.406,26.2157,23.0415,21.2468,18.2941
49,20.4764,40.0519,41.692,42.2284,40.9804,39.1234,37.1834,34.7912,32.0531,27.7843,25.8305,22.1315,19.8431,17.5952
50,22.1257,42.0588,43.8824,43.263,42.4821,39.8351,37.2157,34.8074,30.6078,27.2388,24.925,21.1765,18.6355,16.5686
51,23.6667,43,45.3333,44,43.3333,40,37,34.3333,29.3333,26.3333,23.3333,20.6667,18,15.3333
52,25.7647,45.7336,46.6194,45.6782,43.8397,40.2549,36.8351,33.7843,28.6228,24.1453,21.9216,19.5848,17.0081,14.5329
53,27.9146,47.0196,47.6471,46.1107,43.6274,40.105,36.2157,33.5686,26.9216,23.6482,21.203,18.8305,16.0911,13.8235
54,30.4706,47.2999,48.7232,46.2018,42.9077,39.2999,35.6863,33.3472,25.6078,23.4764,20.7982,17.8316,15.4764,13.5686
55,33.0554,47.9885,49.2042,46.6713,42.5179,38.1569,35.2745,32.91,24.9412,22.4002,20.1292,17.1211,14.8039,13.3333
56,34.3472,49.2491,49.3472,46.406,42.8178,38.4175,34.9354,32.0254,24.7451,21.5548,20,16.9354,14.6667,13.3333
57,34.7705,49.9965,48.7682,46.7255,42.925,38.2757,34.925,31.3368,25.203,21.2745,19.6309,16.5098,14.4706,12.9412
58,36.6274,51.323,48.0427,46.5952,42.699,37.3137,34.0623,30.4706,24.624,20.9181,18.5686,16.0911,14.3333,12.8431
59,38.1569,51.8754,48.0069,46.2422,41.9216,36.9804,33,29.549,23.5098,20.2549,17.6078,15.699,14.2941,13
60,38.8431,50.8754,48.2422,46.0069,41.4118,36.6863,33,28.7843,22.8235,19.7451,17.3922,15.7186,14.0392,13
61,39.4152,50.0784,48.3333,45.3103,40.9516,36.1926,32.8985,28.0784,22.3529,19.451,17.4348,15.5652,14,13
62,39.9769,49.6505,48.0358,44.0784,40.7186,35.474,32.376,27.6897,21.9608,19.1961,17.5294,15.3333,14,12.8627
63,39.8824,49.2491,47.549,43.0784,40.3668,34.8824,31.7001,27.6805,21.6413,19,17.2884,15.2745,14,12.6667
64,39.4937,48.7878,46.91,43.1373,39.5006,34.7301,31.2076,27.5213,21.4348,18.7255,17.5525,15.0115,14,12.6667
65,38.4983,48.857,46.4371,43.5467,40.3195,34.1176,31.2353,27.8039,21.7255,18.5744,18.0923,15.2353,14.2215,12.6667
66,37.7186,48.6205,45.9089,42.9746,39.7578,34.549,31.0196,27.8893,21.3068,18.8697,18,15.4441,14.098,12.6667
67,36.6782,48.4937,45.1649,42.1765,39.3333,34.7532,30.925,27.6782,21.7647,18.9654,17.9216,15.4314,14.0277,12.7843
68,34.6667,47.6667,45.3333,42,39.6667,34,31.3333,27.3333,23,19.6667,17.6667,14.6667,14.3333,13
69,34.2468,46.6355,44.4671,42.3564,39.9723,34.7762,31.1176,27.8547,22.3495,19.4625,17.361,15.1765,14.3333,13
70,32.7982,45.7843,44.2607,41.8097,39.5813,34.9735,31.3783,28.1961,22.5755,19.3529,17.6136,15.4833,14.4314,13.098
71,30.1903,44.7509,44.4487,41.5375,39.2007,35.2883,32.2803,28.6275,22.9666,19.8235,18.4844,15.8685,14.6471,13.3137
72,28.4198,43.7762,43.5802,41.7532,39.8235,35.7532,32.7059,28.8627,23.286,20.7728,19.1961,16.0865,14.8512,13.3529
73,27.0669,43.2353,42.9527,42.0807,39.2803,36.4452,32.7255,29.2722,24.7843,21.5767,19.3979,16.7001,14.8547,13.6863
74,24.9573,42.1569,42.2907,41.4279,38.699,36.9446,33.4279,30.1995,26.0784,21.8397,20.2157,17.549,15.474,14.1569
75,23.6344,41.3691,41.9377,40.9908,39.4314,37.1176,34.2388,30.9735,26.722,22.0588,21.1442,18.1799,15.7843,14.451
76,22.4187,40.3933,41.4152,41.3426,40.1315,37.3587,34.9873,31.7313,26.8812,22.7463,22.2814,18.9735,16.3264,14.6736
77,20.1638,39.6874,40.2584,39.8328,39.3668,37.143,34.9285,33.1038,27.3714,25.3345,22.301,20.1107,17.4245,14.9089
78,18.8627,38.925,39.5744,39.4867,39.7186,37.6897,36.1892,32.6274,28.7347,26.0334,23.6113,20.7059,17.8697,15.6897
79,17.902,37.526,38.5225,39.7486,39.7324,38.3172,36.6436,32.8339,29.7255,27.2584,25,21.2941,18.6505,16.8466
80,16.5017,35.4291,37.2134,39.3864,39.0138,38.0923,36.7117,34.1061,30.955,28.9216,26.5548,22.3529,19.8766,18.0058
81,15.5686,34.5882,36.5409,38.4314,37.8662,37.8627,36.9804,34.7843,32.0704,30.3922,28.5017,23.0784,21.0784,18.8039
82,14.8039,32.6217,35.496,36.7116,37.4764,36.9493,36.7647,35.6747,33.0646,31.406,29.7451,24.7255,22.6078,19.451
83,13.6471,28.4764,32.5421,34.0911,35.9815,36.0854,36.3991,36.0138,33.6148,32.3403,30.9412,27.5098,25.1176,21.3922
84,12.9216,25.2434,29.4164,32.0784,33.9492,35.1096,35.8824,35.8431,33.7451,32.7451,31.9919,29.6863,27.2434,23.4118
85,12.6667,23.3333,27,30.6667,32.3333,34,35.6667,35.3333,34,33,32.6667,30.6667,29,25.3333
86,11.6747,20.2434,23.8985,27.4118,29.8547,31.6863,34.2941,34.1765,32.8189,33.2941,33.0623,31.098,30.8431,27.4821
87,11.3333,18.2941,21.6471,24.3922,27.0796,29.5421,32.5363,33.098,31.3206,33.6863,32.902,31.7382,32.0392,28.6078
88,11.3333,17.4706,19.9712,22.5098,24.6551,27.496,30.263,31,30.6494,33.4233,33.1707,32.902,32.5409,29.2803
89,10.9331,15.6113,18.0507,20.5571,22.6655,23.6863,26.6794,27.3103,30.7935,31.7889,33.887,34.4833,33.519,31.233
90,10.6667,14.6021,16.3725,18.4902,20.6863,21.4902,23.8489,25.8431,27.737,30.8824,32.4902,33.5548,33.6136,32.143
91,10.4706,14.1534,15.624,17.451,19.2941,20.0588,22.271,24.4902,25.7186,29.5294,32.4314,33.3103,33.0092,32.5882
92,9.9839,13.4152,14.3922,15.654,17.3137,18.1534,20.3241,21.9642,23.9446,27.5917,31.1961,32.7486,33.1176,33.2514
93,9.7059,12.9608,13.2549,14.1638,15.5363,16.5294,19.1176,19.7716,22.8039,26.1961,29.2226,32.0854,33.3195,33.9804
94,9.9608,12.7059,12.7451,13.4187,15.0461,15.8039,17.8824,18.8108,21.8627,25.4706,29.0265,30.8305,32.8489,34.0196
95,10.3725,12.3956,12.6113,13.0623,14.301,14.752,16.4348,18.5559,20.4383,24.5882,29.0069,30.1799,32.1407,33.2422
96,10.8039,12.1961,12.6667,13,14,14.3333,15.6667,18.6275,19.8201,24.098,28.2907,29.9839,32.0784,33.1211
97,11,12,12.6667,13.0138,14,14.3922,15.7255,18.3529,20.3864,24.1234,27.451,29.6551,32.7843,33.2687
98,11.1373,12.1292,12.7958,13.1292,13.8627,14.7843,16.2549,18.1488,20.9689,24.3057,27.8235,28.91,33.4314,33.812
99,11.5686,12.8039,13.2491,13.8178,15.0923,16.1626,17.1845,19.0565,21.6863,24.3806,27.6251,29.8766,34.0484,33.4037
100,11.5098,13,13.4579,14.2814,15.7912,16.7451,18.4452,20.2284,22.6597,25.5559,27.902,30.8039,33.4752,33.0196
101,11.1326,13.1615,13.7855,14.9308,16.8085,18.4948,21.0208,23.2549,25.7682,27.5652,30.3322,32.015,34.6274,33.5882
102,10,14.3333,16,17.6667,20,22.6667,26.6667,28,30,31,33,33.6667,36,34.6667
103,10.7647,15.9262,19.2595,21.2826,24.812,27.5686,29.6471,31.2468,32.2664,33.0115,33.09,33.7566,35.2745,34.286
104,11.5859,20.3968,24.6655,27.1107,30.4198,32.2814,33.06,34.0934,33.6943,33.8374,32.9746,32.8697,33.6021,32.1257
105,13.4602,28.2826,32.143,34.7232,35.782,36.4429,36.0646,35.8328,33.4175,33.3172,32,30.8489,30.3841,27.3979
106,13.4625,35.0473,37.1811,39.0946,38.2318,38.2238,37.8674,36.1338,32.3691,31.6159,30.5882,28.3529,26.7762,23.5882
107,16.6943,41.4083,40.8985,41.8478,40.6909,38.5202,36.8062,34.9596,30.0219,28.5767,27.0427,24.5213,22.496,20.2745
108,23.7578,46.2295,43.7982,43.1015,40.579,36.8212,34.278,31.105,25.4025,24.1961,23.1534,20.278,18.2999,16.6701
