Voltage (V),Current (A),OD_1 (mm),ID_1 (mm),OD_2 (mm),ID_2 (mm),OD_3 (mm),ID_3 (mm),D1,D2,D3,D
120,1,79,63,77,64,77,64,71,70.5,70.5,70.66666667
140,1,83,70,84,72,83,71,76.5,78,77,77.16666667
160,1,90,73,88,73,88,75,81.5,80.5,81.5,81.16666667
180,1,93,82,94,80,94,81,87.5,87,87.5,87.33333333
200,1,98,86,99,83,97,84,92,91,90.5,91.16666667
220,1,102,87,102,87,101,86,94.5,94.5,93.5,94.16666667
,,,,,,\,,,,,
