r = B = 10000,high pass = 1000,low pass = 10000,,at 27 : r = c = 100000,"1500, 0.472"
every 0.005V measure voltage,,,,,
voltage,gain,V_sq_wgain,V_sq_std_wgain,V_sq,V_std
0.5,3000,0.692333333,0.002081666,2.14E-12,6.42E-15
0.495,3000,0.696,0.001,2.15E-12,3.09E-15
0.49,3000,0.701,0.001,2.16E-12,3.09E-15
0.485,3000,0.704666667,0.00305505,2.17E-12,9.43E-15
0.48,3000,0.705666667,0.002516611,2.18E-12,7.77E-15
0.475,3000,0.707666667,0.002081666,2.18E-12,6.42E-15
0.47,3000,0.719333333,0.001527525,2.22E-12,4.71E-15
0.465,3000,0.712666667,0.002081666,2.20E-12,6.42E-15
0.46,3000,0.723,0.002,2.23E-12,6.17E-15
0.455,3000,0.722,0.002645751,2.23E-12,8.17E-15
0.45,3000,0.723,0.002645751,2.23E-12,8.17E-15
0.445,3000,0.725666667,0.002081666,2.24E-12,6.42E-15
0.44,3000,0.734666667,0.001527525,2.27E-12,4.71E-15
0.435,3000,0.738333333,0.001527525,2.28E-12,4.71E-15
0.43,3000,0.741,0.002645751,2.29E-12,8.17E-15
0.425,3000,0.743666667,0.002309401,2.30E-12,7.13E-15
0.42,3000,0.745333333,0.00305505,2.30E-12,9.43E-15
0.415,3000,0.751,0.001,2.32E-12,3.09E-15
0.41,3000,0.753666667,0.004932883,2.33E-12,1.52E-14
0.405,3000,0.758666667,0.002081666,2.34E-12,6.42E-15
0.4,3000,0.762333333,0.003511885,2.35E-12,1.08E-14
0.395,3000,0.762333333,0.001527525,2.35E-12,4.71E-15
0.39,3000,0.769333333,0.001527525,2.37E-12,4.71E-15
0.385,3000,0.77,0.002645751,2.38E-12,8.17E-15
0.38,3000,0.771,0.002645751,2.38E-12,8.17E-15
0.375,3000,0.773666667,0.00321455,2.39E-12,9.92E-15
0.37,3000,0.778,0.001,2.40E-12,3.09E-15
0.365,3000,0.784,0.002,2.42E-12,6.17E-15
0.36,3000,0.786333333,0.002516611,2.43E-12,7.77E-15
0.355,3000,0.792,0.001,2.44E-12,3.09E-15
0.35,3000,0.790666667,0.00057735,2.44E-12,1.78E-15
0.345,3000,0.798333333,0.001527525,2.46E-12,4.71E-15
0.34,3000,0.803,0.001,2.48E-12,3.09E-15
0.335,3000,0.802333333,0.001154701,2.48E-12,3.56E-15
0.33,3000,0.806333333,0.001527525,2.49E-12,4.71E-15
0.325,3000,0.810333333,0.001527525,2.50E-12,4.71E-15
0.32,3000,0.812333333,0.001527525,2.51E-12,4.71E-15
0.315,3000,0.813,0.001,2.51E-12,3.09E-15
0.31,3000,0.818333333,0.002516611,2.53E-12,7.77E-15
0.305,3000,0.822666667,0.002516611,2.54E-12,7.77E-15
0.3,3000,0.822666667,0.001527525,2.54E-12,4.71E-15
